"id_mat_rule"|"mat_general"|"astm_grade"|"incl_all"|"incl_any"|"not_any"
"179"|"SS"|"SA403-WP304L"|"SA403|WP304L|WP"|"SA403-WP304L|SA403 WP304L|SA403 GR WP304L|SA403 GRADE WP304L"|"SA403-WP304"
"180"|"SS"|"SA403-WP304L SMLS"|"SA403|WP304L|SMLS|WP"|"SA403-WP304L|SA403 WP304L|SA403 GR WP304L|SA403 GRADE WP304L|SA403-WP304L SMLS|SA403 WP304L SMLS"|"SA403-WP304"
"181"|"SS"|"SA403-WP304L WLD"|"SA403|WP304L|WLD|WP"|"SA403-WP304L|SA403 WP304L|SA403 GR WP304L|SA403 GRADE WP304L|SA403-WP304L WLD|SA403 WP304L WLD"|"SA403-WP304"
"182"|"SS"|"SA403-WP317L"|"SA403|WP317L|WP"|"SA403-WP317L|SA403 WP317L|SA403 GR WP317L|SA403 GRADE WP317L"|"SA403-WP317"
"183"|"SS"|"SA403-WP317L SMLS"|"SA403|WP317L|SMLS|WP"|"SA403-WP317L|SA403 WP317L|SA403 GR WP317L|SA403 GRADE WP317L|SA403-WP317L SMLS|SA403 WP317L SMLS"|"SA403-WP317"
"184"|"SS"|"SA403-WP317L WLD"|"SA403|WP317L|WLD|WP"|"SA403-WP317L|SA403 WP317L|SA403 GR WP317L|SA403 GRADE WP317L|SA403-WP317L WLD|SA403 WP317L WLD"|"SA403-WP317"
"185"|"SS"|"SA403-WP347"|"SA403|WP347|WP"|"SA403-WP347|SA403 WP347|SA403 GR WP347|SA403 GRADE WP347"|""
"186"|"SS"|"SA403-WP347 SMLS"|"SA403|WP347|SMLS|WP"|"SA403-WP347|SA403 WP347|SA403 GR WP347|SA403 GRADE WP347|SA403-WP347 SMLS|SA403 WP347 SMLS"|""
"187"|"SS"|"SA403-WP347 WLD"|"SA403|WP347|WLD|WP"|"SA403-WP347|SA403 WP347|SA403 GR WP347|SA403 GRADE WP347|SA403-WP347 WLD|SA403 WP347 WLD"|""
"188"|"SS"|"SA479-316"|"SA479|316"|"SA479-316|SA479 316|SA479 GR 316|SA479 GRADE 316"|""
"189"|"SS"|"SA479-316L"|"SA479|316L"|"SA479-316L|SA479 316L|SA479 GR 316L|SA479 GRADE 316L"|"SA479-316"
"190"|"SS_NITR_60"|"A276-UNS S21800"|"A276|UNS"|"A276-UNS|A276 UNS|A276 GR UNS|A276 GRADE UNS|A276-UNS S21800|A276 UNS S21800"|"SA276-UNS"
"191"|"SS_NITR_60"|"A790-S32205"|"A790|S32205"|"A790-S32205|A790 S32205|A790 GR S32205|A790 GRADE S32205"|"SA790-S32205"
"192"|"SS_NITR_60"|"A790-S32205 SMLS"|"A790|S32205|SMLS"|"A790-S32205|A790 S32205|A790 GR S32205|A790 GRADE S32205|A790-S32205 SMLS|A790 S32205 SMLS"|"SA790-S32205"
"193"|"SS_NITR_60"|"A790-S32205 WLD"|"A790|S32205|WLD"|"A790-S32205|A790 S32205|A790 GR S32205|A790 GRADE S32205|A790-S32205 WLD|A790 S32205 WLD"|"SA790-S32205"
"194"|"SS_NITR_60"|"SA790-S32205"|"SA790|S32205"|"SA790-S32205|SA790 S32205|SA790 GR S32205|SA790 GRADE S32205"|""
"195"|"SS_NITR_60"|"SA790-S32205 SMLS"|"SA790|S32205|SMLS"|"SA790-S32205|SA790 S32205|SA790 GR S32205|SA790 GRADE S32205|SA790-S32205 SMLS|SA790 S32205 SMLS"|""
"196"|"SS_NITR_60"|"SA790-S32205 WLD"|"SA790|S32205|WLD"|"SA790-S32205|SA790 S32205|SA790 GR S32205|SA790 GRADE S32205|SA790-S32205 WLD|SA790 S32205 WLD"|""
"197"|"DUPLEX_SS"|"A182-F51 UNS S31803/S32205"|"A182|F51|UNS"|"A182-F51|A182 F51|A182 GR F51|A182 GRADE F51|A182-F51 UNS S31803/S32205|A182 F51 UNS S31803/S32205"|"SA182-F51"
"198"|"DUPLEX_SS"|"A182-F60"|"A182|F60"|"A182-F60|A182 F60|A182 GR F60|A182 GRADE F60"|"SA182-F60"
"199"|"DUPLEX_SS"|"A694-F60"|"A694|F60"|"A694-F60|A694 F60|A694 GR F60|A694 GRADE F60"|"SA694-F60"
"200"|"DUPLEX_SS"|"A694-F60 SMLS"|"A694|F60|SMLS"|"A694-F60|A694 F60|A694 GR F60|A694 GRADE F60|A694-F60 SMLS|A694 F60 SMLS"|"SA694-F60"
"201"|"DUPLEX_SS"|"A790-S31803"|"A790|S31803"|"A790-S31803|A790 S31803|A790 GR S31803|A790 GRADE S31803"|"SA790-S31803"
"202"|"DUPLEX_SS"|"A790-S31803 SMLS"|"A790|S31803|SMLS"|"A790-S31803|A790 S31803|A790 GR S31803|A790 GRADE S31803|A790-S31803 SMLS|A790 S31803 SMLS"|"SA790-S31803"
"203"|"DUPLEX_SS"|"A790-S31803 WLD"|"A790|S31803|WLD"|"A790-S31803|A790 S31803|A790 GR S31803|A790 GRADE S31803|A790-S31803 WLD|A790 S31803 WLD"|"SA790-S31803"
"204"|"DUPLEX_SS"|"A790-S31803/S32205 WLD"|"A790|S31803|S32205|WLD"|"A790-S31803/S32205|A790 S31803/S32205|A790 GR S31803/S32205|A790 GRADE S31803/S32205|A790-S31803/S32205 WLD|A790 S31803/S32205 WLD"|"SA790-S31803/S32205"
"205"|"DUPLEX_SS"|"A790-S32205/S31803"|"A790|S32205|S31803"|"A790-S32205/S31803|A790 S32205/S31803|A790 GR S32205/S31803|A790 GRADE S32205/S31803"|"SA790-S32205/S31803"
"206"|"DUPLEX_SS"|"A790-UNS S31803/S32205"|"A790|UNS"|"A790-UNS|A790 UNS|A790 GR UNS|A790 GRADE UNS|A790-UNS S31803/S32205|A790 UNS S31803/S32205"|"SA790-UNS"
"207"|"DUPLEX_SS"|"A815-S31803-W/S32205 WLD"|"A815|S31803|W|S32205|WLD"|"A815-S31803-W/S32205|A815 S31803 W/S32205|A815 S31803-W/S32205|A815 GR S31803-W/S32205|A815 GRADE S31803-W/S32205|A815-S31803-W/S32205 WLD|A815 S31803 W/S32205 WLD"|"SA815-S31803-W/S32205"
"208"|"DUPLEX_SS"|"A815-WPS32205"|"A815|WPS32205|WP"|"A815-WPS32205|A815 WPS32205|A815 GR WPS32205|A815 GRADE WPS32205"|"SA815-WPS32205"
"209"|"DUPLEX_SS"|"A815-WPS32205 SMLS"|"A815|WPS32205|SMLS|WP"|"A815-WPS32205|A815 WPS32205|A815 GR WPS32205|A815 GRADE WPS32205|A815-WPS32205 SMLS|A815 WPS32205 SMLS"|"SA815-WPS32205"
"210"|"DUPLEX_SS"|"A815-WPS32205 WLD"|"A815|WPS32205|WLD|WP"|"A815-WPS32205|A815 WPS32205|A815 GR WPS32205|A815 GRADE WPS32205|A815-WPS32205 WLD|A815 WPS32205 WLD"|"SA815-WPS32205"
"211"|"DUPLEX_SS"|"SA182-F60"|"SA182|F60"|"SA182-F60|SA182 F60|SA182 GR F60|SA182 GRADE F60"|""
"212"|"DUPLEX_SS"|"SA790-S31803"|"SA790|S31803"|"SA790-S31803|SA790 S31803|SA790 GR S31803|SA790 GRADE S31803"|""
"213"|"DUPLEX_SS"|"SA790-S31803 SMLS"|"SA790|S31803|SMLS"|"SA790-S31803|SA790 S31803|SA790 GR S31803|SA790 GRADE S31803|SA790-S31803 SMLS|SA790 S31803 SMLS"|""
"214"|"DUPLEX_SS"|"SA790-S31803 WLD"|"SA790|S31803|WLD"|"SA790-S31803|SA790 S31803|SA790 GR S31803|SA790 GRADE S31803|SA790-S31803 WLD|SA790 S31803 WLD"|""
"215"|"DUPLEX_SS"|"SA815-WPS32205"|"SA815|WPS32205|WP"|"SA815-WPS32205|SA815 WPS32205|SA815 GR WPS32205|SA815 GRADE WPS32205"|""
"216"|"DUPLEX_SS"|"SA815-WPS32205 SMLS"|"SA815|WPS32205|SMLS|WP"|"SA815-WPS32205|SA815 WPS32205|SA815 GR WPS32205|SA815 GRADE WPS32205|SA815-WPS32205 SMLS|SA815 WPS32205 SMLS"|""
"217"|"DUPLEX_SS"|"SA815-WPS32205 WLD"|"SA815|WPS32205|WLD|WP"|"SA815-WPS32205|SA815 WPS32205|SA815 GR WPS32205|SA815 GRADE WPS32205|SA815-WPS32205 WLD|SA815 WPS32205 WLD"|""
"218"|"HAST_C276"|"B366-WPHC276"|"B366|WPHC276|WP"|"B366-WPHC276|B366 WPHC276|B366 GR WPHC276|B366 GRADE WPHC276"|"SB366-WPHC276"
"219"|"HAST_C276"|"B366-WPHC276 SMLS"|"B366|WPHC276|SMLS|WP"|"B366-WPHC276|B366 WPHC276|B366 GR WPHC276|B366 GRADE WPHC276|B366-WPHC276 SMLS|B366 WPHC276 SMLS"|"SB366-WPHC276"
"220"|"HAST_C276"|"B366-WPHC276 WLD"|"B366|WPHC276|WLD|WP"|"B366-WPHC276|B366 WPHC276|B366 GR WPHC276|B366 GRADE WPHC276|B366-WPHC276 WLD|B366 WPHC276 WLD"|"SB366-WPHC276"
"221"|"HAST_C276"|"B366-WPHC276S"|"B366|WPHC276S|WP"|"B366-WPHC276S|B366 WPHC276S|B366 GR WPHC276S|B366 GRADE WPHC276S"|"SB366-WPHC276S"
"222"|"HAST_C276"|"B462-UNS N10276"|"B462|UNS"|"B462-UNS|B462 UNS|B462 GR UNS|B462 GRADE UNS|B462-UNS N10276|B462 UNS N10276"|"SB462-UNS"
"223"|"HAST_C276"|"B622-UNS N10276"|"B622|UNS"|"B622-UNS|B622 UNS|B622 GR UNS|B622 GRADE UNS|B622-UNS N10276|B622 UNS N10276"|"SB622-UNS"
"224"|"HAST_C276"|"B622-UNS N10276 SMLS"|"B622|UNS|SMLS"|"B622-UNS|B622 UNS|B622 GR UNS|B622 GRADE UNS|B622-UNS N10276 SMLS|B622 UNS N10276 SMLS"|"SB622-UNS"
"225"|"HAST_C276"|"SB366-WPHC276"|"SB366|WPHC276|WP"|"SB366-WPHC276|SB366 WPHC276|SB366 GR WPHC276|SB366 GRADE WPHC276"|""
"226"|"HAST_C276"|"SB366-WPHC276 SMLS"|"SB366|WPHC276|SMLS|WP"|"SB366-WPHC276|SB366 WPHC276|SB366 GR WPHC276|SB366 GRADE WPHC276|SB366-WPHC276 SMLS|SB366 WPHC276 SMLS"|""
"227"|"HAST_C276"|"SB366-WPHC276 WLD"|"SB366|WPHC276|WLD|WP"|"SB366-WPHC276|SB366 WPHC276|SB366 GR WPHC276|SB366 GRADE WPHC276|SB366-WPHC276 WLD|SB366 WPHC276 WLD"|""
"228"|"HAST_C276"|"SB462-UNS N10276"|"SB462|UNS"|"SB462-UNS|SB462 UNS|SB462 GR UNS|SB462 GRADE UNS|SB462-UNS N10276|SB462 UNS N10276"|""
"229"|"HAST_C276"|"SB622-UNS N10276 SMLS"|"SB622|UNS|SMLS"|"SB622-UNS|SB622 UNS|SB622 GR UNS|SB622 GRADE UNS|SB622-UNS N10276 SMLS|SB622 UNS N10276 SMLS"|""
"230"|"PE"|"A915-WP"|"A915|WP"|"A915-WP|A915 WP|A915 GR WP|A915 GRADE WP"|"SA915-WP"
"231"|"MONEL"|"B165-N04400 ANNEALED SMLS"|"B165|N04400|SMLS|ANNEALED"|"B165-N04400|B165 N04400|B165 GR N04400|B165 GRADE N04400|B165-N04400 ANNEALED SMLS|B165 N04400 ANNEALED SMLS"|"SB165-N04400"
